worker-5  | 2026-03-30 11:15:56,639 [INFO] Worker starting with Supabase library...
worker-5  | 2026-03-30 11:15:56,756 [INFO] Supabase library client initialized
worker-5  | 2026-03-30 11:16:07,151 [INFO] Connecting to RabbitMQ...
worker-5  | 2026-03-30 11:16:07,294 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-5  | 2026-03-30 11:16:07,295 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-5  | 2026-03-30 11:16:12,297 [INFO] Connecting to RabbitMQ...
worker-5  | 2026-03-30 11:16:12,301 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-5  | 2026-03-30 11:16:12,302 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-5  | 2026-03-30 11:16:17,309 [INFO] Connecting to RabbitMQ...
worker-5  | 2026-03-30 11:16:17,312 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-5  | 2026-03-30 11:16:17,312 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-5  | 2026-03-30 11:16:22,316 [INFO] Connecting to RabbitMQ...
worker-5  | 2026-03-30 11:16:22,319 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-5  | 2026-03-30 11:16:22,319 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-5  | 2026-03-30 11:16:27,327 [INFO] Connecting to RabbitMQ...
worker-5  | 2026-03-30 11:16:27,345 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-5  | 2026-03-30 11:16:27,346 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-5  | 2026-03-30 11:16:32,350 [INFO] Connecting to RabbitMQ...
worker-5  | 2026-03-30 11:16:32,360 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-5  | 2026-03-30 11:16:32,361 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-5  | 2026-03-30 11:16:37,366 [INFO] Connecting to RabbitMQ...
worker-5  | 2026-03-30 11:16:37,377 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-5  | 2026-03-30 11:16:37,378 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-5  | 2026-03-30 11:16:42,380 [INFO] Connecting to RabbitMQ...
worker-5  | 2026-03-30 11:16:42,384 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-5  | 2026-03-30 11:16:42,384 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-5  | 2026-03-30 11:16:47,385 [INFO] Connecting to RabbitMQ...
worker-5  | 2026-03-30 11:16:47,388 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-5  | 2026-03-30 11:16:47,388 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-5  | 2026-03-30 11:16:52,393 [INFO] Connecting to RabbitMQ...
worker-5  | 2026-03-30 11:16:52,410 [INFO] Ready — consuming with concurrency=4
worker-5  | 2026-03-30 11:31:34,897 [INFO] 📩 Message received from RabbitMQ — creating task...
worker-5  | 2026-03-30 11:31:34,967 [INFO] 📩 Message received from RabbitMQ — creating task...
worker-5  | 2026-03-30 11:31:34,976 [INFO] Decoding message body: b'{"callback_url":"http://host.docker.internal:9999/callback","job_id":"stress-test-3-83c0","location":"India","product_id":"b36b116e-0c19-4fa0-b669-835bd76c820e","query":"Best places to visit in Japan during spring"}'
worker-5  | 2026-03-30 11:31:34,991 [INFO] [stress-test-3-83c0] Starting — query: 'Best places to visit in Japan during spring', location: India, attempt: 1/4
worker-5  | 2026-03-30 11:31:35,916 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-3-83c0 "HTTP/2 200 OK"
worker-5  | 2026-03-30 11:31:36,109 [INFO] [stress-test-3-83c0] Status → processing
worker-5  | 2026-03-30 11:31:36,194 [INFO] Decoding message body: b'{"callback_url":"http://host.docker.internal:9999/callback","job_id":"stress-test-7-2057","location":"India","product_id":"b36b116e-0c19-4fa0-b669-835bd76c820e","query":"Top 5 electric SUVs with highest range in 2024"}'
worker-5  | 2026-03-30 11:31:36,194 [INFO] [stress-test-7-2057] Starting — query: 'Top 5 electric SUVs with highest range in 2024', location: India, attempt: 1/4
worker-5  | 2026-03-30 11:31:36,273 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-7-2057 "HTTP/2 200 OK"
worker-5  | 2026-03-30 11:31:36,276 [INFO] [stress-test-7-2057] Status → processing
worker-5  | 2026-03-30 11:31:39,247 [ERROR] [stress-test-7-2057] Processing error: 'Stealth' object has no attribute 'apply'
worker-5  | 2026-03-30 11:31:39,247 [INFO] [stress-test-7-2057] Retrying in 5s (attempt 1/3)
worker-5  | 2026-03-30 11:31:39,274 [ERROR] [stress-test-3-83c0] Processing error: 'Stealth' object has no attribute 'apply'
worker-5  | 2026-03-30 11:31:39,275 [INFO] [stress-test-3-83c0] Retrying in 5s (attempt 1/3)
worker-5  | 2026-03-30 11:31:44,299 [INFO] 📩 Message received from RabbitMQ — creating task...
worker-5  | 2026-03-30 11:31:44,300 [INFO] Decoding message body: b'{"callback_url":"http://host.docker.internal:9999/callback","job_id":"stress-test-9-7d9b","location":"India","product_id":"b36b116e-0c19-4fa0-b669-835bd76c820e","query":"NASA\'s next mission to Mars details"}'
worker-5  | 2026-03-30 11:31:44,300 [INFO] [stress-test-9-7d9b] Starting — query: "NASA's next mission to Mars details", location: India, attempt: 2/4
worker-5  | 2026-03-30 11:31:44,577 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-9-7d9b "HTTP/2 200 OK"
worker-5  | 2026-03-30 11:31:44,603 [INFO] [stress-test-9-7d9b] Status → processing
worker-5  | 2026-03-30 11:31:44,715 [INFO] 📩 Message received from RabbitMQ — creating task...
worker-5  | 2026-03-30 11:31:44,715 [INFO] Decoding message body: b'{"callback_url":"http://host.docker.internal:9999/callback","job_id":"stress-test-1-971a","location":"India","product_id":"b36b116e-0c19-4fa0-b669-835bd76c820e","query":"How to make a perfect Neapolitan pizza?"}'
worker-5  | 2026-03-30 11:31:44,715 [INFO] [stress-test-1-971a] Starting — query: 'How to make a perfect Neapolitan pizza?', location: India, attempt: 2/4
worker-5  | 2026-03-30 11:31:44,792 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-1-971a "HTTP/2 200 OK"
worker-5  | 2026-03-30 11:31:44,803 [INFO] [stress-test-1-971a] Status → processing
worker-5  | 2026-03-30 11:31:45,359 [ERROR] [stress-test-9-7d9b] Processing error: 'Stealth' object has no attribute 'apply'
worker-5  | 2026-03-30 11:31:45,359 [INFO] [stress-test-9-7d9b] Retrying in 10s (attempt 2/3)
worker-5  | 2026-03-30 11:31:45,610 [ERROR] [stress-test-1-971a] Processing error: 'Stealth' object has no attribute 'apply'
worker-5  | 2026-03-30 11:31:45,611 [INFO] [stress-test-1-971a] Retrying in 10s (attempt 2/3)
worker-5  | 2026-03-30 11:31:55,330 [INFO] 📩 Message received from RabbitMQ — creating task...
worker-5  | 2026-03-30 11:31:55,330 [INFO] Decoding message body: b'{"callback_url":"http://host.docker.internal:9999/callback","job_id":"stress-test-0-d659","location":"India","product_id":"b36b116e-0c19-4fa0-b669-835bd76c820e","query":"What is the current price of Bitcoin?"}'
worker-5  | 2026-03-30 11:31:55,330 [INFO] [stress-test-0-d659] Starting — query: 'What is the current price of Bitcoin?', location: India, attempt: 3/4
worker-5  | 2026-03-30 11:31:55,452 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-0-d659 "HTTP/2 200 OK"
worker-5  | 2026-03-30 11:31:55,457 [INFO] [stress-test-0-d659] Status → processing
worker-5  | 2026-03-30 11:31:55,564 [ERROR] [stress-test-0-d659] Processing error: 'Stealth' object has no attribute 'apply'
worker-5  | 2026-03-30 11:31:55,564 [INFO] [stress-test-0-d659] Retrying in 15s (attempt 3/3)
worker-5  | 2026-03-30 11:31:55,672 [INFO] 📩 Message received from RabbitMQ — creating task...
worker-5  | 2026-03-30 11:31:55,672 [INFO] Decoding message body: b'{"callback_url":"http://host.docker.internal:9999/callback","job_id":"stress-test-5-f6f2","location":"India","product_id":"b36b116e-0c19-4fa0-b669-835bd76c820e","query":"Benefits of Mediterranean diet for heart health"}'
worker-5  | 2026-03-30 11:31:55,672 [INFO] [stress-test-5-f6f2] Starting — query: 'Benefits of Mediterranean diet for heart health', location: India, attempt: 3/4
worker-5  | 2026-03-30 11:31:55,750 [INFO] HTTP Request: PATCH https://bnrpcmwkqqdmweoxkmth.supabase.co/rest/v1/processed_jobs?job_id=eq.stress-test-5-f6f2 "HTTP/2 200 OK"
worker-5  | 2026-03-30 11:31:55,758 [INFO] [stress-test-5-f6f2] Status → processing
worker-2  | 2026-03-30 11:15:49,850 [INFO] Worker starting with Supabase library...
worker-2  | 2026-03-30 11:15:49,912 [INFO] Supabase library client initialized
worker-2  | 2026-03-30 11:16:07,075 [INFO] Connecting to RabbitMQ...
worker-2  | 2026-03-30 11:16:07,224 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
worker-2  | 2026-03-30 11:16:07,224 [ERROR] RabbitMQ error: [Errno 111] Connect call failed ('172.18.0.2', 5672) — reconnecting in 5s...
worker-2  | 2026-03-30 11:16:12,230 [INFO] Connecting to RabbitMQ...
worker-2  | 2026-03-30 11:16:12,234 [INFO] Connection to amqp://admin:******@rabbitmq:5672/ closed. Reconnecting after 5 seconds.
